Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.67,0.00,2.40,33.48,0.00,0.00,0.00,0.00,0.55,0.65,2.21,2.28,2.39,0.75
HTTP Connection Overhead (ms),0.91,0.00,3.94,45.52,0.00,0.00,0.00,0.00,0.55,0.65,3.67,3.81,3.94,1.28
HTTP Connection Reused (ratio),0.32,0.00,1.00,16.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),261.04,11.29,517.54,13052.15,14.97,57.23,93.04,156.61,273.79,337.54,431.67,456.98,508.36,129.59
HTTP Data Sent (KB),0.11,0.05,0.16,5.51,0.05,0.06,0.07,0.09,0.11,0.14,0.15,0.15,0.16,0.03
HTTP DNS Lookup (ms),0.24,0.00,1.56,12.03,0.00,0.00,0.00,0.00,0.00,0.00,1.47,1.53,1.55,0.55
HTTP Duration (excl. conn) (ms),3264.98,218.65,6297.89,163249.20,282.22,797.15,1212.79,2061.13,3414.69,4246.34,5389.06,5617.04,6208.77,1550.34
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.97,0.16,2.97,48.25,0.17,0.18,0.20,0.29,0.79,0.93,2.79,2.87,2.96,0.87
HTTP Total Time (ms),3265.88,219.19,6298.48,163293.77,284.41,797.65,1213.43,2061.27,3414.68,4246.47,5389.54,5618.92,6209.37,1550.23
HTTP Waiting (TTFB) (ms),3264.00,217.84,6297.05,163200.01,280.34,796.42,1211.85,2060.75,3414.41,4246.00,5388.34,5615.39,6207.90,1550.42
Output Audio Duration (sec),5.57,0.24,11.04,278.40,0.32,1.22,1.98,3.34,5.84,7.20,9.21,9.75,10.84,2.76
Output Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Request Latency (ms),3265.10,218.82,6297.97,163254.82,282.41,797.23,1212.86,2061.22,3414.78,4246.41,5389.15,5617.19,6208.87,1550.33
Inverse Real-Time Factor (RTFx) (ratio),1.66,1.10,1.86,83.20,1.12,1.51,1.56,1.65,1.69,1.73,1.75,1.77,1.84,0.13

Metric,Value
Benchmark Duration (sec),61.86
Output Token Throughput (tokens/sec),0.00
Request Count,50.00
Request Throughput (requests/sec),0.81
Total Output Sequence Length (tokens),0.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
