Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.29,0.00,3.03,28.85,0.00,0.00,0.00,0.00,0.00,0.00,0.66,2.28,2.50,0.67
HTTP Connection Overhead (ms),0.42,0.00,5.08,41.65,0.00,0.00,0.00,0.00,0.00,0.00,0.66,3.73,4.19,1.09
HTTP Connection Reused (ratio),0.76,0.00,1.00,76.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.43
HTTP Data Received (KB),250.09,18.79,551.29,25009.30,26.22,52.54,74.67,133.17,243.79,356.29,453.79,477.79,540.16,140.34
HTTP Data Sent (KB),0.11,0.05,0.19,10.69,0.05,0.05,0.06,0.08,0.11,0.14,0.15,0.15,0.16,0.03
HTTP DNS Lookup (ms),0.13,0.00,2.05,12.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47,1.71,0.44
HTTP Duration (excl. conn) (ms),1402.90,196.98,2967.52,140290.04,229.04,341.68,474.81,735.67,1270.27,1971.58,2438.23,2645.18,2960.28,743.14
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.52,0.16,3.75,52.06,0.16,0.16,0.16,0.17,0.21,0.27,0.89,2.87,3.08,0.77
HTTP Total Time (ms),1403.30,196.98,2967.51,140330.19,229.03,341.67,474.88,735.81,1270.26,1971.57,2438.22,2645.19,2960.26,743.06
HTTP Waiting (TTFB) (ms),1402.36,196.81,2967.32,140236.48,228.80,341.45,474.55,735.41,1270.08,1971.35,2437.99,2644.90,2960.10,743.20
Output Audio Duration (sec),5.33,0.40,11.76,533.44,0.56,1.12,1.59,2.84,5.20,7.60,9.68,10.19,11.52,2.99
Output Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Request Latency (ms),1403.00,197.06,2967.60,140300.04,229.13,341.77,474.89,735.75,1270.35,1971.66,2438.33,2645.33,2960.36,743.14
Inverse Real-Time Factor (RTFx) (ratio),3.70,1.74,4.63,370.02,2.32,3.10,3.33,3.48,3.71,3.95,4.17,4.31,4.60,0.41

Metric,Value
Benchmark Duration (sec),60.01
Output Token Throughput (tokens/sec),0.00
Request Count,100.00
Request Throughput (requests/sec),1.67
Total Output Sequence Length (tokens),0.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
