Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.76,0.00,2.50,37.90,0.00,0.00,0.00,0.49,0.54,0.67,2.38,2.44,2.49,0.75
HTTP Connection Overhead (ms),1.01,0.00,4.14,50.55,0.00,0.00,0.00,0.49,0.54,0.67,3.95,4.06,4.13,1.31
HTTP Connection Reused (ratio),0.18,0.00,1.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.38
HTTP Data Received (KB),253.84,15.04,472.54,12692.15,18.72,66.42,97.17,143.48,271.92,351.61,413.29,439.17,470.71,123.50
HTTP Data Sent (KB),0.11,0.05,0.16,5.51,0.05,0.06,0.07,0.09,0.11,0.14,0.15,0.15,0.16,0.03
HTTP DNS Lookup (ms),0.25,0.00,1.65,12.65,0.00,0.00,0.00,0.00,0.00,0.00,1.55,1.62,1.65,0.58
HTTP Duration (excl. conn) (ms),1499.02,165.66,2875.30,74950.93,183.89,445.88,687.03,854.94,1455.53,2057.38,2378.58,2503.65,2726.73,687.28
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.05,0.16,3.13,52.40,0.17,0.20,0.25,0.68,0.76,0.95,2.98,3.02,3.10,0.88
HTTP Total Time (ms),1500.01,169.61,2879.40,75000.62,186.14,446.42,687.51,856.38,1456.08,2058.76,2379.07,2504.21,2729.07,687.30
HTTP Waiting (TTFB) (ms),1497.95,162.63,2872.13,74897.67,182.01,445.14,686.33,853.48,1454.73,2056.07,2377.84,2502.86,2724.73,687.26
Output Audio Duration (sec),5.41,0.32,10.08,270.72,0.40,1.42,2.07,3.06,5.80,7.50,8.82,9.37,10.04,2.63
Output Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Request Latency (ms),1499.13,165.87,2875.54,74956.39,184.03,445.95,687.12,855.09,1455.62,2057.51,2378.65,2503.73,2726.90,687.28
Inverse Real-Time Factor (RTFx) (ratio),3.52,1.93,4.26,175.86,2.14,2.86,3.18,3.30,3.55,3.75,4.07,4.21,4.26,0.43

Metric,Value
Benchmark Duration (sec),59.71
Output Token Throughput (tokens/sec),0.00
Request Count,50.00
Request Throughput (requests/sec),0.84
Total Output Sequence Length (tokens),0.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
